user_name,rating,comment,images,created_at,thank_count,product_id,product_name
Ngoc Nguyen,5,Luôn uống cà phê này hàng ngày,['https://salt.tikicdn.com/ts/review/f5/45/ba/40f36cc9b7fe6692af37e735bac2ac69.jpg'],07/01/23,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Thuong Nguyễn,5,"Sản phẩm ok, đóng gói cẩn thận, giao hàng nhanh chongd, rất đáng mua",['https://salt.tikicdn.com/ts/review/c5/6b/1d/8811f6966b06d61394691623ae4252bd.jpg'],08/06/22,1,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Huyen Nguyen,5,Tuyệt vời đứng như quảng cáo,['https://salt.tikicdn.com/ts/review/f0/93/e6/29a158ec488686548bd38de66c620cf1.jpg'],09/12/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Trần Thị Ngọc Trang,5,"Hàng date mới, đóng gói kỹ và giao nhanh.",[],05/03/23,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Lan Trinh,5,Cafe giá rẻ và giao hàng nhanh chóng. Cám ơn nhà bán,['https://salt.tikicdn.com/ts/review/50/a6/ae/8d2ad21fef455a53a4698464ebb53bbb.jpg'],16/07/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
hà an huy,5,Good,['https://salt.tikicdn.com/ts/review/6f/df/b1/ce25cf80c26ece75220cd3ca66702e9d.jpg'],30/12/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Dương Vi,5,"Uống ngon, mùi vị đậm đà👍",[],14/01/23,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Vo Thi Hien,5,"Mình lăng tăng sợ date cũ ,may quá date tháng 3 mới nhé ,mn nên mua",[],14/06/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Tran loc,5,rất ngon,[],11/01/23,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
huynh van tan,5,"giao nhanh sản phẩm tốt, tiết kiệm nhiều chị phí",[],26/06/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
nguyen thi thanh phuong,5,Nhận hàng nhanh,[],09/11/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Tài khoản Zalo,5,Date mới 5/2022 giao nhanh,[],01/08/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
ngoc chau,5,"hàng như hình, giao nhanh",[],28/07/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Nguyễn Phong,5,ok,[],13/10/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Kino Book,5,Rất ngon,[],09/09/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Jimmy Trang,5,Thom,[],26/09/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Ngoạ Long,5,Ok,[],29/08/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Đỗ Thanh Long,5,sản phẩm ngon,[],05/07/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
Thích Tiểu Long,5,Ok,[],28/08/22,0,174247255,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sachets x 16gr (gói vuông)
